ArrayExpress_Sex_s	ArrayExpress_Species_s	AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
	Hemitaeniochromis spilopterus	250	SAMEA3480882	ERX1160962	500	14544856	2016-03-03	14967	5376	Protomelas spilopterus	2015-10-21	ERR1081372	ERS788663	Liwonde	Hemitaeniochromis_spilopterus-sc-2288164	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Taeniolethrinops praeorbitalis	250	SAMEA3388860	ERX1160963	500	14544773	2016-03-03	14084	5157	Taeniolethrinops praeorbitalis	2015-10-21	ERR1081373	ERS724939	Mangochi	Taeniolethrinops_praeorbitalis-sc-2288165	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Mylochromis ericotaenia	250	SAMEA3388862	ERX1160964	500	14544785	2016-03-03	13337	4935	Mylochromis ericotaenia	2015-10-21	ERR1081374	ERS724941	Cape Maclear	Mylochromis_ericotaenia-sc-2288167	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Stigmatochromis modestus	250	SAMEA3388863	ERX1160965	500	14544809	2016-03-03	14167	5152	Stigmatochromis modestus	2015-10-21	ERR1081375	ERS724942	Cape Maclear	Stigmatochromis_modestus-sc-2288169	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Hemitilapia oxyrhynchus	250	SAMEA3388864	ERX1160966	500	14544821	2016-03-03	15690	5794	Hemitilapia oxyrhyncha	2015-10-21	ERR1081376	ERS724943	Mangochi	Hemitilapia_oxyrhynchus-sc-2288170	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Serranochromis robustus	250	SAMEA3388865	ERX1160967	500	14544833	2016-03-03	14378	5458	Serranochromis robustus	2015-10-21	ERR1081377	ERS724944	Nsinje river mouth	Serranochromis_robustus-sc-2288171	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia tweddlei	250	SAMEA3388867	ERX1160968	500	14544786	2016-03-03	14478	5414	Haplochromis tweddlei	2015-10-21	ERR1081378	ERS724946	Lake Chiuta	Astatotilapia_tweddlei-sc-2288176	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Taeniolethrinops furcicauda	250	SAMEA3388868	ERX1160969	500	14544810	2016-03-03	14467	5454	Taeniolethrinops furcicauda	2015-10-21	ERR1081379	ERS724954	Metangula	Taeniolethrinops_furcicauda-sc-2288178	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Dimidiochromis strigatus	250	SAMEA3388870	ERX1160970	500	14544834	2016-01-28	15084	5643	Dimidiochromis strigatus	2015-10-21	ERR1081380	ERS724956	Mangochi	Dimidiochromis_strigatus-sc-2288182	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Pallidochromis tokolosh	250	SAMEA3388871	ERX1160971	500	14544846	2016-01-28	15688	5999	Pallidochromis tokolosh	2015-10-21	ERR1081381	ERS724957	SE Arm	Pallidochromis_tokolosh-sc-2288183	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Otopharynx lithobates	250	SAMEA3388872	ERX1160972	500	14544787	2016-01-28	13406	4956	Otopharynx lithobates	2015-10-21	ERR1081382	ERS724958	Cape Maclear	Otopharynx_lithobates-sc-2288186	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Rhamphochromis esox	250	SAMEA3388873	ERX1160973	500	14544799	2016-01-28	13584	4933	Rhamphochromis esox	2015-10-21	ERR1081383	ERS724959	Tukombo	Rhamphochromis_esox-sc-2288187	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Metriaclima zebra	250	SAMEA3388874	ERX1160974	500	14544811	2016-01-28	13363	4869	Maylandia zebra	2015-10-21	ERR1081384	ERS724960	Matema	Metriaclima_zebra-sc-2288188	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera 'Itupi'	250	SAMEA3388875	ERX1160975	500	14544823	2016-01-28	12149	4447	Astatotilapia calliptera	2015-10-21	ERR1081385	ERS724961	Lower Itupi	Astatotilapia_calliptera__Itupi_-sc-2288189	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera 'Itupi'	250	SAMEA3388876	ERX1160976	500	14544835	2016-01-28	13483	4880	Astatotilapia calliptera	2015-10-21	ERR1081386	ERS724962	Lower Itupi	Astatotilapia_calliptera__Itupi_-sc-2288190	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera 'Itupi'	250	SAMEA3388877	ERX1160977	500	14544847	2016-01-28	13572	4943	Astatotilapia calliptera	2015-10-21	ERR1081387	ERS724963	Lower Itupi	Astatotilapia_calliptera__Itupi_-sc-2288191	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera 'Itupi'	250	SAMEA3388878	ERX1160978	500	14544859	2016-01-28	12872	4648	Astatotilapia calliptera	2015-10-21	ERR1081388	ERS724964	Upper Itupi	Astatotilapia_calliptera__Itupi_-sc-2288192	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877464	ERX240946	250	6526384	2016-03-09	4840	3294	Astatotilapia	2013-05-05	ERR266450	ERS198939	Lake Massoko	Massoko_blue_1-sc-2012-12-14T14:26:09Z-1512680	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877494	ERX240947	250	6526396	2016-03-09	5296	3603	Astatotilapia	2013-05-05	ERR266451	ERS198940	Lake Massoko	Massoko_blue_2-sc-2012-12-14T14:26:12Z-1512681	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
