AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	isolate_s	isolation_source_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s	age_s	sex_s	tissue_s
95	SAMN03768888	SRX1074999	2015-10-13	0	0	Astatotilapia sp. RAD-102A	2015-10-18	SRR2080330	SRS973714	RAD-102A	2011-07-16	102A	Lake Ilamba	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768889	SRX1075000	2015-10-13	94	64	Astatotilapia sp. RAD-102B	2015-10-18	SRR2080331	SRS973715	RAD-102B	2011-07-16	102B	Lake Ilamba	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768890	SRX1075001	2015-10-13	113	72	Astatotilapia sp. RAD-102C	2015-10-18	SRR2080332	SRS973732	RAD-102C	2011-07-16	102C	Lake Ilamba	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768909	SRX1075002	2015-10-13	123	83	Astatotilapia calliptera	2015-10-18	SRR2080333	SRS973731	RAD-144A	17-Jan-2011	144A	Makanjila	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768910	SRX1075003	2015-10-13	113	76	Astatotilapia calliptera	2015-10-18	SRR2080334	SRS973729	RAD-144B	17-Jan-2011	144B	Makanjila	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768891	SRX1075004	2015-10-13	163	110	Astatotilapia calliptera	2015-10-18	SRR2080335	SRS973730	RAD-157B	16-Jul-2011	157B	Site 4	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768892	SRX1075005	2015-10-13	195	132	Astatotilapia calliptera	2015-10-18	SRR2080336	SRS973725	RAD-157C	16-Jul-2011	157C	Site 4	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768872	SRX1075006	2015-10-13	132	89	Astatotilapia sp. RAD-183A	2015-10-18	SRR2080337	SRS973726	RAD-183A	2011-07-17	183A	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768873	SRX1075007	2015-10-13	57	38	Astatotilapia sp. RAD-183B	2015-10-18	SRR2080338	SRS973728	RAD-183B	2011-07-17	183B	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768874	SRX1075008	2015-10-13	26	18	Astatotilapia sp. RAD-183C	2015-10-18	SRR2080339	SRS973724	RAD-183C	2011-07-17	183C	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768875	SRX1075009	2015-10-13	180	120	Astatotilapia sp. RAD-200	2015-10-18	SRR2080340	SRS973722	RAD-200	2011-07-17	200	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768876	SRX1075010	2016-02-05	7	5	Astatotilapia sp. RAD-206	2016-02-10	SRR2080341	SRS973716	RAD-206	2011-07-17	206	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768877	SRX1075011	2015-10-13	243	165	Astatotilapia sp. RAD-207A	2015-10-18	SRR2080342	SRS973719	RAD-207A	2011-07-17	207A	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768878	SRX1075012	2015-10-13	158	106	Astatotilapia sp. RAD-207B	2015-10-18	SRR2080343	SRS973717	RAD-207B	2011-07-17	207B	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768869	SRX1075013	2015-10-13	965	648	Astatotilapia sp. RAD-213B	2015-10-18	SRR2080344	SRS973720	RAD-213B	2011-07-17	213B	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768870	SRX1075014	2015-10-13	18	12	Astatotilapia sp. RAD-213C	2015-10-18	SRR2080345	SRS973718	RAD-213C	2011-07-17	213C	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768871	SRX1075015	2015-10-13	280	181	Astatotilapia sp. RAD-213D	2015-10-18	SRR2080346	SRS973723	RAD-213D	2011-07-17	213D	Lake Massoko	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768900	SRX1075016	2015-10-13	97	66	Astatotilapia calliptera	2015-10-18	SRR2080347	SRS973721	RAD-218B	2009	218B	Lake Chiuta	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
